id,behavior
13,MB_TALL_GRASS
19,MB_SECRET_BASE_WALL
20,MB_SECRET_BASE_WALL
21,MB_LONG_GRASS
33,MB_ANIMATED_DOOR
36,MB_SOUTH_ARROW_WARP
37,MB_TALL_GRASS
38,MB_SECRET_BASE_SPOT_TREE_LEFT
39,MB_SECRET_BASE_SPOT_TREE_RIGHT
44,MB_OCEAN_WATER
45,MB_POND_WATER
52,MB_OCEAN_WATER
53,MB_OCEAN_WATER
54,MB_SECRET_BASE_SPOT_TREE_LEFT_OPEN
55,MB_SECRET_BASE_SPOT_TREE_RIGHT_OPEN
60,MB_OCEAN_WATER
65,MB_ANIMATED_DOOR
76,MB_WATERFALL
84,MB_OCEAN_WATER
97,MB_ANIMATED_DOOR
105,MB_MOUNTAIN_TOP
108,MB_MOUNTAIN_TOP
113,MB_MOUNTAIN_TOP
129,MB_MOUNTAIN_TOP
133,MB_JUMP_WEST
134,MB_JUMP_EAST
135,MB_JUMP_SOUTH
141,MB_JUMP_SOUTHWEST
142,MB_JUMP_SOUTHEAST
143,MB_JUMP_SOUTH
149,MB_JUMP_WEST
150,MB_JUMP_EAST
151,MB_JUMP_SOUTH
152,MB_POND_WATER
153,MB_POND_WATER
154,MB_POND_WATER
157,MB_JUMP_SOUTHWEST
158,MB_JUMP_SOUTHEAST
161,MB_POND_WATER
165,MB_JUMP_WEST
166,MB_JUMP_EAST
167,MB_NON_ANIMATED_DOOR
173,MB_JUMP_SOUTHWEST
174,MB_JUMP_SOUTHEAST
176,MB_POND_WATER
177,MB_POND_WATER
178,MB_POND_WATER
179,MB_WATERFALL
180,MB_MOUNTAIN_TOP
182,MB_MOUNTAIN_TOP
184,MB_POND_WATER
185,MB_WATERFALL
186,MB_POND_WATER
187,MB_WATERFALL
188,MB_WATERFALL
189,MB_POND_WATER
190,MB_MOUNTAIN_TOP
191,MB_MOUNTAIN_TOP
192,MB_POND_WATER
193,MB_OCEAN_WATER
194,MB_POND_WATER
195,MB_POND_WATER
196,MB_POND_WATER
197,MB_POND_WATER
200,MB_PUDDLE
201,MB_PUDDLE
202,MB_PUDDLE
203,MB_POND_WATER
204,MB_POND_WATER
205,MB_POND_WATER
208,MB_PUDDLE
209,MB_PUDDLE
210,MB_PUDDLE
213,MB_JUMP_SOUTH
214,MB_JUMP_SOUTH
215,MB_MOUNTAIN_TOP
216,MB_PUDDLE
217,MB_PUDDLE
218,MB_PUDDLE
219,MB_MOUNTAIN_TOP
220,MB_MOUNTAIN_TOP
221,MB_JUMP_SOUTH
222,MB_JUMP_SOUTH
223,MB_MOUNTAIN_TOP
229,MB_JUMP_SOUTH
230,MB_JUMP_SOUTH
232,MB_MUDDY_SLOPE
233,MB_MUDDY_SLOPE
234,MB_MUDDY_SLOPE
235,MB_MUDDY_SLOPE
236,MB_VERTICAL_RAIL
237,MB_ISOLATED_HORIZONTAL_RAIL
240,MB_HORIZONTAL_RAIL
241,MB_HORIZONTAL_RAIL
242,MB_HORIZONTAL_RAIL
